ID,Topic,Summary,Track,Date,Time,Duration,Location
1,Leveraging Technology for Better Deployment Collaboration,"The ServiceNow team is planning to implement new features that provide improvements in communication, collaboration and knowledge retention around and during deployments.",Business Friendly,10/17/2012,1:00 PM,25,1
2,Cheap and Free Test Tools,"This presentation will provide an overview and demonstration of open source or inexpensive tools for test design, test management, defect tracking, test data creation, test automation, test evaluation and web-based load testing.",Technical,10/17/2012,1:30 PM,25,1
3,Cloudy with a Chance of Continuous Delivery,"Discussion of advantages, disadvantages, and adoption of continuous deployment and delivery as well as business benefits and pain points as they are in the current (in-house) environment and as we move portions into Amazon AWS (specifically the VPC, Virtual Private Cloud), which involves multiple technologies and services with the goal to save time and money maintaining the CD/CI environment.",Technical,10/17/2012,2:00 PM,55,1
4,Data Visualization,An overview of data visualization tools with a demo of two and a discussion of how they can be used with MAM data.,Technical,10/17/2012,9:30 AM,25,1
5,Kickoff Meeting,A kickoff meeting,Business Friendly,10/18/2012,4:00 PM,99,1
6,Project OZ - The File-Based Workflow Initiative,"An overview of how the file-based workflow initiative is impacting SNI, and why it is important to the core businesses. The presentation will help explain SNI’s evolution from a videotape to a file-based media infrastructure. A snapshot of the current project status, and a view into the future objectives of the project will be described.",Business Friendly,10/17/2012,10:00 AM,25,2
7,Cloud Transcoding Pilot,"The Solutions Engineering team working with NLV Operations has successfully piloted a cloud transcoding workflow using Zencoder, S3 storage, and Aspera.",Technical,10/17/2012,10:30 AM,25,1
8,SQL Tips and Tricks,This presentation will show how to enhanced performance and solve some common problems in Oracle using SQL.,Technical,10/17/2012,11:00 AM,55,1
9,Standarizing Frame Rate,A discussion of standardizing frame rates,Technical,10/18/2012,4:00 PM,99,1
10,Activating SNI's Customer Data Portfolio,What is SNI's customer data footprint? 35MM+ customer records across 15+ databases. Over 26MM unique visitors to our websites. Over 10MM social connections. SNI has a lot of customer data. Find out how we are activating and protecting that data to drive our business.,Business Friendly,10/17/2012,11:00 AM,55,2
11,TV Everywhere Overview,"TV-Everywhere (TV-E), also known as Subscriber Authentication is a significant trend in the pay television business. The concept was launched by Time Warner Cable and Comcast in 2009 and is intended to allow all pay TV subscribers to view content on many platforms. Scripps will be creating TV-E website and mobile apps to allow viewers to watch full episodes online or via mobile devices.",Business Friendly,10/17/2012,10:30 AM,25,2
12,Using Social Media for Team Collaboration,"In this presentation Lydia will talk about the pros and cons of using social media tools such as Google+, Sococo, Lync and others to improve communication and collaboration among virtual teams.",Business Friendly,10/18/2012,1:00 PM,25,2
13,Homegrown Guerrilla Usability Testing,An inside look into the rapid fire low and mid-fidelity usability testing efforts currently being developed and deployed by the SNI IxD department. Questions to be addressed will include: What's the aim of the testing? How is it different from our standard usability testing efforts? What are we hoping to accomplish? Are there drawbacks to this kind of testing? What have we learned so far?,Business Friendly,10/18/2012,1:30 PM,25,2
14,What's New with the Digital Software Architecture Committee,"Come hear what the DSAC has been up to since last year’s Techtoberfest. The DSAC has been working on recommendations and best practices for timely subject areas including REST services, Object Caching and Spring. Or maybe you didn’t know that Digital has a Software Architecture Committee? Then stop by to learn about the DSAC and how they can help your development team leverage tribal knowledge around best practices, proven frameworks and technologies.",Business Friendly,10/18/2012,2:00 PM,55,2
15,Virtual Desktops in the Cloud,This presentation will talk to how the IT is utilizing VDI (Virtual Desktop Infrastructure) technology as well as lessons learned. Topics will include: What is Virtual Desktop Infrastructure? What are the benefits of this technology? What are the new areas for discovery/growth? What are the costs?,Business Friendly,10/18/2012,3:30 PM,25,1
16,Using SNidbit to Pull Show Images,"Have you ever needed a show image or logo for a presentation that does not exist? Did you know that you could pull images by watching shows in Snidbit and ""frame grab"" the images you need? This presentation will show a technique to do just that. ",Business Friendly,10/17/2012,9:30 AM,25,2
17,Business Process Management in Digital,This presentation will discuss Digital's efforts to introduce BPM and related technology into Digital. We will cover the social aspect and its overall importants to the success of the organization.,Business Friendly,10/18/2012,9:00 AM,25,2
18,Digital's BI Current State and Vision,This presentation will provide a definition of Business Intelligence and an assessment of the current and future state of BI in Digital.,Business Friendly,,9:30 AM,25,2
19,Living in the Microsoft Cloud,Come and see how the SharePoint team is looking at using Microsoft’s cloud infrastructure and tools to develop and host applications and services in the cloud. Microsoft now has in place a host of various cloud-based offerings that allows a company to quite literally “virtually” replace in-house Information Technology infrastructure. This presentation will cover the major components of Microsoft’s cloud offerings with real world demonstrations.,Technical,10/18/2012,10:00 AM,55,2
20,Agile Estimation Planning Poker Workshop,"Ever wish you had an estimation technique that could be leveraged both with onsite and remote participants while providing a great framework for collaboration as well? Why not try Estimation Planning Poker with your agile team? Join us for a fun hands on demonstration on how to do planning poker with your team to achieve better estimation results. Want to know more on the Planning Poker technique prior to session, go here: http://planningpoker.com/",Business Friendly,10/18/2012,11:00 AM,55,2
21,JBoss Operations Network (JON),The presentation will demonstrate exposing Spring entities and some monitoring features.,Technical,,9:30 AM,25,1
22,JBoss 6 and Arquillan,"This presentation will show the benefits of the new lightweight container JBoss container in EAP 6. In addition, we will discuss how Arquillian, an open-source project for testing enterprise Java applications, can help speed up development and testing on EAP 6. ",Technical,10/18/2012,9:00 AM,25,1
23,Using the ICE Framework to Create a Recipe Editor,This presentation will cover the feature set used to create the Recipe Editor for the Culinary Staff in NYC. We will include a introduction to the ICE framework and the enhancements made by SNI to meet user's requirements. ,Technical,10/18/2012,10:00 AM,55,1
24,Rapid UI Development using Bootstrap,"This presentation will cover the Scripps ""Bootstrap"" UI development framework including the motivation for developing a common UI framework, the capabilities included in Bootstrap and a demo of building a page with Bootstrap.",Technical,10/18/2012,11:00 AM,55,1
25,Attribute-Based Access Control with Axiomatics,"This presentation will discuss an authorization model that provides dynamic, context-aware access control.",Technical,10/18/2012,1:00 PM,25,1
26,MySQL for the Oracle Professional,"MySQL is becoming more prevalent in IT lately, with an ever-increasing feature set, high availability options, and cost effective deployments. Prepare yourself to be an effective DBA or developer in the MySQL world. This presentation will show you how to translate your Oracle skills to MySQL with live demos of common tools and methods that you will use on a daily basis. Both DBA and developer skills will be covered.",Technical,10/18/2012,1:30 PM,25,1
27,Designing Applications for Multi-Platform Delivery,"This presentation will discuss a framework to manage content across platforms. Topics will include HTML 5, touch interfaces, rich media, behavioral targeting and presentation across web, mobile and email. ",Business Friendly,10/18/2012,2:00 PM,55,1
28,AIM Social Login and Registration,Sit in to get an architectural and functional overview of the new AIM social login and user registration system. AIM is set to be launched on the new cookingchanneltv.com and is slated to eventually replace the current UR3 system. AIM will enhance the social login and registration by supporting more social providers and reducing the barrier to registration. We will discuss functional advantages of AIM and go through the challenges of keeping users synchronized between UR3 and AIM while sites transition from one system to the other.,Technical,10/17/2012,2:00 PM,25,2
29,Enterprise Mobile Apps Strategy,"With the proliferation of personal devices in the workplace, one may wonder what we as a company are doing about Mobile Applications in the Enterprise. This talk with share the IT Strategy for Enterprise Mobile Apps in the workplace, and what to expect in the future.",Business Friendly,10/17/2012,1:30 PM,25,2
30,Media Asset Management Target State,"The existing Media Asset Management (MAM) infrastructure was put into service over the past seven years and has become foundational for internal processes and mission critical for linear scheduling and digital publishing of content to consumers and partners. In addition to an aging infrastructure upon which we continue to build, the business demands have grown and changed in nature, requiring a new vision for the direction of MAM. This presentation will provide an overview of the business and technical drivers for the next generation of MAM.",Business Friendly,10/17/2012,1:00 PM,25,2
31,Technology Panel,A panel to discuss technology,Technical,10/18/2012,4:00 PM,99,1
32,Network Current and Future State,"This session will provide an overview of the company's network infrastructure, current and future state. Jason Norton, Director of Telecommunications, will discuss the LAN, WAN, data center and wireless infrastructure that supports our users and applications. Jason will also discuss future trends in networking and take questions from the audience.",Business Friendly,10/18/2012,4:00 PM,55,2
33,Integration Frameworks - Apache Camel and Spring Integration,Apache Camel and Spring Integration are integration frameworks based on Enterprise Integration Patterns. Both provide a simple model to develop integration solutions.,Technical,10/18/2012,4:00 PM,55,1
34,Agile Data Modeling,"Traditionally, data modeling has been a very time intensive exercise that involves significant effort from the data modeler and the members of the application development team. To make the process a lot more interesting the views expressed by certain sections of the data modeling community have not always been in alignment with those expressed by the agile community. However, over the past few years quite a few data practitioners have been experimenting with the concept of agile data modeling and have been sharing their lessons from the trenches. A more recent development in the concept of agile data modeling has been the use of universal patterns in data modeling.",Technical,10/17/2012,10:00 AM,25,1
35,Cooking Channel TV Monitoring Strategy,"This presentation will talk about the monitoring strategy that was developed for the CCTV Relaunch Project. Topics will include architectural design, approach and buildout. ",Technical,10/18/2012,3:30 PM,25,2
